,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result
0,0,1,-0.20315334,-0.040277425,0.0,0.0,0.0,0.9248899,0.0,0.99755585,0.92882645,0.0630507,,,,No MP Data
1,1,4,-0.2302813,0.07182883,0.8238598,0.06086287,0.090555176,0.54640466,0.06189487,0.96405596,0.43875402,0.021234881,,,,No MP Data
2,2,4,-0.43891966,-0.33055946,0.32266375,0.0,0.0107427025,0.73730123,0.0,0.96154857,0.7706273,0.010449215,,,,No MP Data
3,3,4,-0.48528153,-0.26577452,0.8665246,0.023433054,0.013116169,0.052049547,0.0,0.7658662,0.21830574,0.0,,,,No MP Data
4,4,4,-0.7812052,-0.74163425,0.6406831,0.0,0.001640501,0.0,0.0,0.8435031,0.15850157,0.0,,,,No MP Data
5,5,4,-0.3070215,-0.083901085,0.30244225,0.0,0.04653222,0.5643859,0.0,0.58184296,0.8041688,0.0,,,,No MP Data
6,6,4,-0.56707114,-0.45822474,0.7750685,0.0,0.030206753,0.15164672,0.0,0.002866849,0.8043798,0.0,,,,No MP Data
7,7,4,-0.2578842,0.016376045,0.652931,0.041073628,0.0029543526,0.30040509,1.8443921e-05,0.84021246,0.099468954,0.0,,,,No MP Data
8,8,4,-0.22406703,0.09676974,0.5071929,0.064001285,0.0031478906,0.040233977,0.0,0.08640329,0.023297839,0.0,,,,No MP Data
9,9,4,-0.6460415,-0.4629654,0.93115795,0.004342897,0.004219483,0.016197205,0.0013826722,0.9785646,0.6254647,0.0067662075,,,,No MP Data
10,10,4,-0.280834,-0.072450384,0.9385636,0.001471317,0.005982283,0.012670633,0.00841718,0.951786,0.7629143,0.0033651346,,,,No MP Data
11,11,4,-0.28177446,-0.09253957,0.6789372,0.001079076,0.01317789,0.030308228,0.002635959,0.9487485,0.71284014,0.0,,,,No MP Data
12,12,2,-0.23863849,-0.05444644,0.32123297,0.022124724,0.018187815,0.28562903,0.021939104,0.94438386,0.84379727,0.10183876,,,,No MP Data
13,13,4,-0.5036929,-0.41836014,0.75506574,0.011262175,0.0018390385,0.0007283674,0.0,0.21906021,0.31042528,0.0,,,,No MP Data
14,14,1,-0.20944175,0.019104965,0.0,0.0,0.0,0.052210435,0.0,0.9773533,0.89524865,0.024294287,,,,No MP Data
15,15,2,-0.23476446,-0.0629282,0.17550132,0.0,0.008915189,0.07473629,0.0567709,0.91139567,0.48791057,0.024213674,,,,No MP Data
16,16,4,-0.31554532,-0.13223004,0.35632467,0.023360264,0.0,0.0,0.0,0.021461178,0.7652854,0.0,,,,No MP Data
17,17,4,-0.5362142,-0.2837168,0.2194705,0.0071829,0.010987595,0.0063773533,0.0,0.07717641,0.68875706,0.0,,,,No MP Data
18,18,4,-0.35894397,-0.14263664,0.66739166,0.0,0.52616584,0.29123443,0.001589579,0.19428441,0.8379898,0.009339934,,,,No MP Data
