,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result
0,0,7,-0.15151447,-0.11612416,0.0,0.0,0.0020880576,0.22215736,0.0,0.9597365,0.65583843,0.035013307,,,,No MP Data
1,1,7,-0.17272905,-0.10224622,0.0,0.0,0.0,0.048980217,0.0,0.98863196,0.70201164,0.0062690326,,,,No MP Data
2,2,2,-0.30168104,-0.16660409,0.7362119,0.0,0.0066138553,0.009667077,0.036391184,0.75201917,0.52154964,0.0,,,,No MP Data
3,3,4,-0.27879396,-0.09879351,0.5025755,0.0020600597,0.01228255,0.008287435,2.0455176e-05,0.53032374,0.68057,0.0,,,,No MP Data
4,4,4,-0.35945892,-0.25892484,0.4114293,0.0,0.0013842332,0.005389553,0.0,0.47603852,0.80794454,0.0,,,,No MP Data
5,5,4,-0.34521216,-0.16114022,0.26862735,0.018358158,0.0,0.0,0.0,0.0,0.119156614,0.0,,,,No MP Data
6,6,4,-0.37267992,-0.16037323,0.86145645,0.0,0.2984901,0.32026786,4.7736085e-06,0.680581,0.98683864,0.0,,,,No MP Data
7,7,4,-0.2898851,-0.07011472,0.6294959,0.030304521,0.0075997184,0.037659965,0.0,0.00067407667,0.9721306,0.008447851,,,,No MP Data
8,8,4,-0.5632034,-0.4928348,0.087835714,0.0,0.0,0.0,0.0,0.0,0.16426928,0.0,,,,No MP Data
9,9,4,-0.33609855,-0.22082591,0.73728883,0.013667183,0.019830467,0.0,0.0,0.0014442009,0.8852564,0.0,,,,No MP Data
10,10,2,-0.7362874,-0.7390568,0.64071196,0.0,0.0,0.0,0.0,0.004478758,0.45321113,0.0,,,,No MP Data
11,11,4,-0.5675053,-0.52666116,0.16085796,0.0,0.0,0.0,0.0,0.00085226283,0.013006495,0.009074966,,,,No MP Data
12,12,2,-0.35327542,-0.3295847,0.5863726,0.0,0.65886056,0.051865865,0.004707561,0.002899995,0.6053705,0.049352538,,,,No MP Data
