,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result
0,0,4,-0.5606621,-0.60969204,0.21690595,0.0,0.07086518,0.043187838,0.0015042,0.89896786,0.98589736,0.0,,,,No MP Data
1,1,2,-0.51572937,-0.4651204,0.99150455,0.0,0.81194186,0.09251094,0.0038363435,0.71035624,0.8545996,0.0,,,,No MP Data
2,2,2,-0.5807021,-0.58736694,0.9778103,0.0,0.2578393,0.1847252,0.06948919,0.3826537,0.98892486,0.0,,,,No MP Data
3,3,2,-0.6539669,-0.67675394,0.3133633,0.0,0.062271185,0.4483977,0.0033828365,0.4759993,0.992117,0.0,,,,No MP Data
4,4,4,-0.53664577,-0.32036376,0.9118908,0.0,0.06724566,0.33785132,0.0004433932,0.6290552,0.3541988,0.0,,,,No MP Data
5,5,2,-0.47124648,-0.23669791,0.8829494,0.014342431,0.0,0.010847972,0.0,0.17046806,0.15057486,0.0011321438,,,,No MP Data
6,6,2,-0.2797859,-0.07257467,0.62402534,0.032825198,0.0034488332,0.0,0.034645393,0.049394578,0.14840926,0.0,,,,No MP Data
7,7,4,-0.41707653,-0.23998344,0.9367294,0.022388376,0.01661586,0.0,0.015973363,0.005093778,0.17865932,0.0,,,,No MP Data
8,8,3,-0.30116475,-0.098038614,0.7577982,0.043513853,0.0,0.0,0.0034869164,0.0006531565,0.6357206,0.0006730658,,,,No MP Data
9,9,4,-0.5796849,-0.46094018,0.8972784,0.0,0.0197569,0.0,0.0127940215,0.0,0.112650245,0.0,,,,No MP Data
10,10,4,-0.73348045,-0.730609,0.90109444,0.0,0.023062125,0.0,0.009205755,0.0124907335,0.102595896,0.0,,,,No MP Data
11,11,4,-0.6998127,-0.6851572,0.8112657,0.0,0.033699647,0.032207265,0.00047313538,0.8372345,0.88901,0.0,,,,No MP Data
12,12,4,-0.5151527,-0.366617,0.7956173,0.0007263401,0.017762763,0.0,0.0032021077,0.56664395,0.025718492,0.0,,,,No MP Data
13,13,4,-0.3843944,-0.24677365,0.54761577,0.0,0.0,0.0,0.0,0.07995777,0.018532641,0.0,,,,No MP Data
14,14,4,-0.2914996,-0.013410524,0.8785949,0.0,0.013432112,0.3353607,0.00018439013,0.93522334,0.98784065,0.002337056,,,,No MP Data
15,15,4,-0.28053364,0.016133707,0.6030133,0.038120743,0.13030411,0.072566345,0.00018090646,0.029354505,0.31410113,0.002193737,,,,No MP Data
16,16,4,-0.5723751,-0.4492242,0.7665129,0.06262934,0.0,0.00019856762,0.0,0.0213979,0.21421441,0.0,,,,No MP Data
17,17,4,-0.49467957,-0.36182898,0.5304516,0.0,0.0,0.0,0.0,0.057201415,0.85737693,0.0,,,,No MP Data
18,18,2,-0.33695254,-0.17476976,0.10484426,0.0,0.013527896,0.0,0.13881375,0.31306678,0.4079786,0.0,,,,No MP Data
19,19,2,-0.24759877,-0.09597633,0.9561847,0.0,0.027945604,0.010537783,0.1921838,0.0046729688,0.88456035,0.060409155,,,,No MP Data
20,20,2,-0.29054415,-0.037091006,0.88086766,0.0,0.4730366,0.008563824,0.2242085,0.22848949,0.79644394,0.0,,,,No MP Data
21,21,2,-0.29025027,-0.009907906,0.8236968,0.0,0.08727058,0.018465742,0.070621826,0.09752025,0.9159503,0.008840562,,,,No MP Data
22,22,4,-0.410098,-0.18467565,0.7813797,0.0,0.028168323,0.7700056,0.00054658105,0.64726716,0.9543608,0.0,,,,No MP Data
23,23,4,-0.6168149,-0.59928477,0.40906608,0.0,0.01190673,0.1305387,0.00021305661,0.47505277,0.99435234,0.0,,,,No MP Data
24,24,4,-0.8771543,-1.1037711,0.93268776,0.0,0.035671927,0.2585242,0.0017000614,0.08195049,0.9582607,0.0,,,,No MP Data
25,25,4,-0.42887688,-0.20635195,0.5494784,0.0,0.00092992996,0.475691,0.0,0.10578239,0.9917735,0.012113132,,,,No MP Data
26,26,4,-0.76722187,-0.7591428,0.71580064,0.0,0.0,0.0100904405,0.0,0.005761579,0.9448309,0.000827662,,,,No MP Data
27,27,4,-0.64648104,-0.53409195,0.6432736,0.0,0.0029778366,0.5818734,0.0,0.14454128,0.9797233,0.0,,,,No MP Data
28,28,4,-0.96462864,-1.0298184,0.18981823,0.0,0.0,0.0043131365,0.0,0.57465386,0.98839694,0.0,,,,No MP Data
29,29,4,-0.8027242,-0.97083706,0.51852405,0.0,0.022059798,0.74673414,0.0023916033,0.3700595,0.9783522,0.0,,,,No MP Data
30,30,4,-1.0701694,-1.2632595,0.45688784,0.0,0.0025977152,0.07031727,0.0024505989,0.13112248,0.99075544,0.0,,,,No MP Data
31,31,4,-0.60234076,-0.5617095,0.030171597,0.0,0.00014968123,0.2202295,0.0,0.5377387,0.9878213,0.0,,,,No MP Data
32,32,4,-0.818425,-0.8325739,0.56600165,0.0,0.024919719,0.8702917,0.0059091095,0.0,0.98061097,0.0,,,,No MP Data
33,33,4,-1.0227976,-1.2333064,0.5853952,0.0,0.0,0.40554252,0.0,0.045201257,0.952528,0.0,,,,No MP Data
34,34,4,-0.8009661,-0.83743703,0.45149603,0.0,0.0068639666,0.22909743,0.00089545886,0.31066644,0.9679922,0.0,,,,No MP Data
35,35,2,-0.35534945,-0.23684406,0.9836569,0.0,0.28367227,0.3847579,0.029955653,0.77811575,0.98040307,0.00990016,,,,No MP Data
