,frame_count,emotion_index,gaze_yaw,gaze_pitch,au_shape_dim1,au_shape_dim2,au_shape_dim3,au_shape_dim4,au_shape_dim5,au_shape_dim6,au_shape_dim7,au_shape_dim8,mp_pose_yaw_deg,mp_pose_pitch_deg,mp_pose_roll_deg,detection_result
0,0,1,-0.21913964,-0.07972423,0.0,0.0,0.0,0.048936456,0.0,0.9938779,0.6275472,0.06288929,,,,No MP Data
1,1,1,-0.23414132,0.060487695,0.0,0.0,0.0,0.10251589,0.0,0.9922654,0.89720464,0.9193235,,,,No MP Data
2,2,1,-0.18150866,-0.101181515,0.0,0.0,0.0,0.059218943,0.0,0.9895596,0.35635853,0.055526383,,,,No MP Data
3,3,7,-0.1661163,-0.13226028,0.0,0.0,0.003956785,0.18619116,0.0030442714,0.979637,0.32031265,0.021933662,,,,No MP Data
4,4,2,-0.19327351,0.16565971,0.95351976,0.0,0.38174987,0.9704412,0.8418267,0.017974826,0.9950449,0.0367277,,,,No MP Data
5,5,1,-0.18496376,0.13621148,0.0,0.0,0.0,0.22630432,0.0,0.99613905,0.9608979,0.0071804007,,,,No MP Data
6,6,2,-0.7849893,-0.8964981,0.62428474,0.0,0.07102726,0.0001584885,0.010276556,0.0030227527,0.96919835,0.0,,,,No MP Data
7,7,1,-0.19850224,-0.015357141,0.0,0.0,0.0,0.1607691,0.0,0.9924535,0.3631761,0.009480363,,,,No MP Data
8,8,1,-0.21843332,0.040980633,0.0,0.0,0.0,0.17060527,0.0,0.9917156,0.2757467,0.0,,,,No MP Data
9,9,1,-0.16787198,-0.010121851,0.0,0.0,0.0,0.16185232,0.0,0.9924929,0.45752698,0.057173323,,,,No MP Data
10,10,7,-0.19303522,0.06670527,0.0,0.0,0.0,0.058009654,0.0,0.98764145,0.06171114,0.0,,,,No MP Data
11,11,4,-0.8062697,-0.9732507,0.9658379,0.0,0.1607847,0.68116796,0.0,0.0022706487,0.9193172,0.0,,,,No MP Data
12,12,1,-0.1717779,-0.10484872,0.0,0.0,0.0,0.065687634,0.0,0.98875505,0.4579419,0.007449736,,,,No MP Data
13,13,1,-0.20325217,-0.07564999,0.0,0.0,0.0,0.18005103,0.0,0.99353707,0.6552749,0.2635919,,,,No MP Data
14,14,2,-0.47717857,-0.32650504,0.9741795,0.0,0.07100148,0.6974441,0.029210467,0.56169575,0.89748025,0.0022284337,,,,No MP Data
15,15,4,-0.40594518,-0.27588227,0.9869373,0.0042668227,0.2960575,0.0055434597,0.7029605,0.14527333,0.19280198,0.0,,,,No MP Data
16,16,1,-0.11876426,-0.027913354,0.0,0.0,0.0,0.06641749,0.0,0.9464473,0.1610186,0.009894329,,,,No MP Data
17,17,1,-0.21061566,0.012334479,0.0,0.0,0.0,0.056292646,0.0,0.97372603,0.15735976,0.0037155938,,,,No MP Data
18,18,1,-0.19435218,0.01848637,0.0,0.0,0.0,0.6182042,0.0,0.99028504,0.6117865,0.005729281,,,,No MP Data
19,19,2,-0.4246998,-0.27727258,0.97889876,0.0,0.93789816,0.07301696,0.2941712,0.3562879,0.9369554,0.0,,,,No MP Data
20,20,2,-0.19918343,-0.046610244,0.99268305,0.0,0.5789118,0.0,0.93304825,0.5702987,0.59120035,0.0,,,,No MP Data
21,21,2,-0.26588103,-0.11706544,0.9861575,0.0,0.5416724,1.5129958e-05,0.8033986,0.6617296,0.7687259,0.0,,,,No MP Data
22,22,2,-0.38901085,-0.21992932,0.99174196,2.8654529e-06,0.70253956,0.0008186776,0.84923553,0.2183564,0.35341924,0.0,,,,No MP Data
23,23,1,-0.16677341,-0.026032478,0.0,0.0,0.0,0.17434368,0.0,0.9918389,0.7724056,0.14108218,,,,No MP Data
24,24,1,-0.13754533,-0.08410355,0.0,0.0,0.0,0.309507,0.0,0.9915513,0.92006767,0.01992509,,,,No MP Data
25,25,1,-0.1104794,0.087985754,0.0,0.0,0.0,0.48740983,0.0,0.99397415,0.8384692,0.815579,,,,No MP Data
26,26,1,-0.1524952,-0.03627937,0.0,0.0,0.0,0.06878607,0.0,0.9913998,0.52790207,0.9312525,,,,No MP Data
27,27,7,-0.21444878,-0.059828136,0.0,0.0,0.0,0.08206195,0.0,0.43009496,0.04133755,0.0,,,,No MP Data
28,28,1,-0.17294553,0.019469418,0.0,0.0,0.0,0.028252074,0.0,0.9391937,0.10967475,0.002969501,,,,No MP Data
29,29,1,-0.17642075,-0.008081436,0.0,0.0,0.0,0.25951958,0.0,0.9922516,0.655211,0.004848824,,,,No MP Data
